date,open_price,highest_price,lowest_price,close_price,price_change,change_percentage,volume
29/01/2024,"64,017.12","64,207.93","63,826.31","63,921.71",0,0,"2,153,800.00"
26/01/2024,"63,921.71","64,398.74","63,921.71","63,921.71",100,0,"1,675,800.00"
25/01/2024,"64,303.33","64,398.74","63,826.31","63,826.31",-400,-0.01,"2,800,500.00"
24/01/2024,"64,684.96","64,875.77","64,112.52","64,207.93",-400,-0.01,"2,083,500.00"
23/01/2024,"65,161.98","65,161.98","64,494.14","64,589.55",-600,-0.01,"2,252,000.00"
22/01/2024,"64,875.77","65,543.61","64,875.77","65,161.98",300,0,"1,959,800.00"
19/01/2024,"64,303.33","65,448.20","64,303.33","64,875.77",600,0.01,"2,809,900.00"
18/01/2024,"64,207.93","64,684.96","64,207.93","64,303.33",300,0,"3,008,200.00"
17/01/2024,"64,398.74","64,780.36","63,921.71","64,017.12",-300,0,"1,916,400.00"
16/01/2024,"63,921.71","64,303.33","63,635.49","64,303.33",400,0.01,"2,072,400.00"
15/01/2024,"64,112.52","64,398.74","63,921.71","63,921.71",-200,0,"2,336,501.00"
12/1/2024,"64,494.14","64,780.36","63,921.71","64,112.52",-700,-0.01,"3,283,000.00"
11/1/2024,"64,398.74","65,352.79","64,398.74","64,780.36",400,0.01,"2,083,900.00"
10/1/2024,"64,971.17","64,971.17","64,303.33","64,398.74",-600,-0.01,"3,006,600.00"
9/1/2024,"65,066.58","65,352.79","64,875.77","64,971.17",-100,0,"2,579,400.00"
8/1/2024,"65,829.82","65,925.23","65,066.58","65,066.58",-600,-0.01,"2,396,400.00"
5/1/2024,"66,116.04","66,116.04","65,352.79","65,639.01",-200,0,"1,775,700.00"
4/1/2024,"65,925.23","66,306.85","65,829.82","65,829.82",0,0,"3,401,500.00"
3/1/2024,"65,257.39","65,829.82","64,875.77","65,829.82",700,0.01,"1,979,801.00"
2/1/2024,"65,066.58","65,352.79","64,780.36","65,161.98",700,0.01,"2,142,800.00"
29/12/2023,"65,543.61","65,543.61","64,494.14","64,494.14",-900,-0.01,"2,257,800.00"
28/12/2023,"64,398.74","65,352.79","64,398.74","65,352.79","1,000.00",0.01,"2,873,700.00"
27/12/2023,"64,875.77","65,066.58","64,398.74","64,398.74",0,0,"1,736,400.00"
26/12/2023,"64,682.85","64,872.26","64,398.74","64,398.74",100,0,"1,975,400.00"
25/12/2023,"64,019.92","65,061.67","64,019.92","64,304.04",300,0,"3,128,279.00"
22/12/2023,"64,209.33","64,493.44","63,925.22","64,019.92",-200,0,"2,620,700.00"
21/12/2023,"64,304.04","64,682.85","64,209.33","64,209.33",-300,0,"2,875,900.00"
20/12/2023,"63,451.70","64,588.15","63,451.70","64,493.44","1,100.00",0.02,"2,623,900.00"
19/12/2023,"63,546.40","63,830.51","62,788.77","63,451.70",0,0,"3,151,900.00"
18/12/2023,"64,493.44","64,588.15","63,451.70","63,451.70","-1,100.00",-0.02,"3,613,100.00"
15/12/2023,"64,872.26","64,966.96","64,493.44","64,493.44",-300,0,"4,122,500.00"
14/12/2023,"64,777.56","65,251.08","64,588.15","64,777.56",200,0,"1,462,000.00"
13/12/2023,"65,914.00","66,008.71","64,493.44","64,588.15","-1,200.00",-0.02,"4,601,000.00"
12/12/2023,"66,292.82","66,387.52","65,345.78","65,724.60",-600,-0.01,"2,788,700.00"
11/12/2023,"66,766.34","66,766.34","66,198.12","66,292.82","1,000.00",0.01,"4,764,500.00"
8/12/2023,"64,777.56","65,629.89","64,398.74","65,345.78",600,0.01,"3,729,400.00"
7/12/2023,"65,156.37","65,156.37","63,925.22","64,777.56",-100,0,"3,921,300.00"
6/12/2023,"64,493.44","64,966.96","64,493.44","64,872.26",400,0.01,"1,606,600.00"
5/12/2023,"65,156.37","65,345.78","64,398.74","64,493.44",-700,-0.01,"2,302,100.00"
4/12/2023,"64,872.26","65,819.30","64,777.56","65,156.37",400,0.01,"3,006,800.00"
1/12/2023,"64,398.74","64,872.26","64,114.63","64,777.56","1,000.00",0.01,"1,558,800.00"
